property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermarket
62499,-37.82981873,145.23452759999998,107 Erica Court,HEATHMONT,9570000,house,2009,5,3,2,SC_032,1.965,19871,0.897,45,0,hospital_105,2.211,S_040,2.053
43409,-37.70275116,145.0859375,1/278 Grimshaw Street,WATSONIA,6570000,house,2009,3,2,1,SC_062,5.685,19984,0.933,37,0,hospital_075,1.775,S_020,1.263
60071,-37.8119173,145.19473430000002,5/45 Doncaster East Road,MITCHAM,8432000,house,2013,3,2,2,SC_088,1.567,19900,0.72,37,0,hospital_010,0.172,S_202,2.105
21365,-37.761068,144.959665,56 Frederick Street,BRUNSWICK,6852000,house,2009,2,1,0,SC_030,3.299,19967,0.092,23,0,hospital_011,0.731,S_074,0.973
33531,-37.697157000000004,145.00651299999998,10 Morris Street,RESERVOIR,9945000,house,2015,3,1,1,SC_103,4.74,20008,0.537,35,0,hospital_139,2.391,S_228,2.869
49356,-37.813803,145.075595,3 Grant Avenue,BALWYN,21500000,house,2015,4,3,1,SC_099,1.939,19893,1.288,26,0,hospital_064,2.466,S_113,2.262
16551,-37.695686,144.922014,141 View Street,GLENROY,4400000,house,2016,3,1,1,SC_059,3.369,20031,0.546,35,0,hospital_104,5.01,S_209,1.161
35278,-37.731312,145.021097,6 Ashton Street,RESERVOIR,10010000,house,2015,5,2,2,SC_047,1.144,20011,1.645,28,0,hospital_025,2.515,S_225,0.98
13949,-37.755446,144.88815400000001,18 Clydebank Road,ESSENDON WEST,5960000,house,2010,3,2,1,SC_052,1.941,20037,2.469,21,0,hospital_184,2.088,S_049,1.979
23224,-37.728320000000004,144.963426,877 Sydney Road,COBURG NORTH,3500000,house,2013,3,1,1,SC_030,1.256,19964,0.581,30,0,hospital_084,2.903,S_172,1.493
95308,-37.916539,145.05062900000001,25 St James Avenue,BENTLEIGH,11760000,house,2014,4,2,2,SC_046,2.774,19939,1.201,38,0,hospital_159,1.564,S_107,0.819
45991,-37.71117,145.12373300000002,25 Baldwin Avenue,MONTMORENCY,5876000,house,2010,2,1,1,SC_051,5.242,19986,0.499,40,0,hospital_075,1.711,S_210,2.069
